sense,sing_pl,sentence
other,sing,sans aucune apparence de prétention le poète sait plaire et ses leçons n'ont rien de cette philosophie fade et baroque qui ose se montrer dans les opéra comiques et finira par en dégoûter .
other,sing,sans aucune apparence de prétention le poète sait plaire et ses leçons n'ont rien de cette philosophie fade et baroque qui ose se montrer dans les opéra comiques et qui finira par en dégoûter le public .
other,sing,et nos chiens que la peur saisit un même instant répandirent à flots un parfum équivoque dont l'odeur mélangée et tout-à-fait baroque fit s'écrier chaque assistant que leur maître ne peut sans néglier sa floire ne pas venger soudain un affront si notoire .
other,sing,en allant le goût italian au nôtre nous rendrions notre musique dure baroque et presque inchantable .
other,sing,la musique dure et baroque n'est telle que parce que les sons ne sont point fondus .
other,sing,loin de nous toute musique efféminée baroque bruyante ou qui ne peint rien .
other,sing,ne seroit-ce pas une musique dure baroque et  inchantable .
other,sing,on accusoit sa musique de n'être que difficile et baroque .
other,sing,penser cependant d'une musique qui à nos yeux doit être baroque sans mélodie et sans harmonie et qui cependant parle au coeur des naturels du pays .
other,sing,une musique légère et baroque élève l'âme jusqu' aux cieux par une sainte gigue .
other,sing,une musique légère et baroque élève l'âme jusqu' aux cieux par une sainte sarabande .
other,sing,on déclare ma muse hérétique et baroque .
other,sing,ce mot me paraît si baroque que je soupçonne qu'il faut lire cavalcados au lieu de calvados .
other,sing,quelques phrases d'un beau chant dans un morceau d'ailleurs irrégulier commun ou baroque vers heureux dans une pièce écrite d'ailleurs d'un style rocailleux et plat .
other,sing,les personnes trop peu exercées pour saisir cette mélodie disent qu'elle est baroque .
other,sing,voilà pourquoi mon idée plaisante et que vous trouvez baroque mérite la préférence sur le projet que vous défendez .
other,sing,cette idée fausse et baroque fait faire une action dangereuse à ceux qui en sont imbus .
other,sing,cette idée me semble très baroque n'en déplaise au bon goût de votre héros .
other,sing,à l'égard de l'harmonie elle a été trouvée en général un peu trop compliquée et quelquefois baroque .
other,sing,mais s'il moduloit ce même air avec les façons de l'opéra elle s'en moqueroit et elle accuseroit le galant de pindariser d'être baroque .
other,sing,la préface courte burlesque et bouffonne qui se trouve à la tête annonce une tournure d'esprit singulière et baroque .
other,sing,sort des rois sort des humains quel destin bizarre et baroque me fourra parmi ces vauriens .
other,sing,la composition de ce jeune anglois eût elle été moins défecteuse et moins baroque si ce qu'il mit d'anglois en français d'une façon si ridicule il l'avoit mis d'anglois en latin selon l'usage des écoles .
other,sing,la composition était négligée baroque même française .
other,sing,les uns trouvoient son chant plat et commun les autres welche et baroque .
other,sing,naturel se dit encore de tout chant qui n'est ni forcé ni baroque qui ne va ni trop haut ni trop bas ni trop vite ni trop lentement .
other,sing,les unes trouvoient son chant plat et commun les autres welche et baroque .
other,sing,mais ce si comme dissonance mineure ne pouvant se porter qu'au la b amenoit un chant difficile et baroque tel que celui de p vito en cet endroit .
other,sing,on n'y voit point ces hymnes d'un chant lourd baroque .
other,sing,s'ils vouloient dénaturer leur chant ils le rendroient dur baroque et presque inchantable .
other,sing,s'ils vouloient dénaturer leur chant ils le rendroient dur baroque et presque inchantables'ils se contentoient de l'orner par d'autres accompagnements .
other,sing,l'on dira de l'adjectif arke-kayé ce qu'on aura déjà dit d'arki-kaye c'est à dire qu'il est dur et baroque .
other,sing,benjamin gilbert libraire à la haye qui a publié son baroque siècle de louis a cru devoir rassembler tout les les différentes additions que cet inconstant auteur a publiés .
other,sing,benjamin gilbert libraire à la haye qui a publié son baroque siècle de louis .
other,sing,dans cette acception qui est la véritable il faut avouer qu'il n'y a jamais eu rien au monde d'aussi baroque que nos motions nos comités nos journaux patriotiques nos clubs nos arrestations nos incarcerations nos deportations nos condamnations .
other,sing,n'y a-t-il rien de si baroque aussi que cette succession héréditaire de la royauté .
other,sing,rien de si baroque que les discours que ce prestigiateur adresse aux diables .
other,sing,car leur talent n'est le plus souvent pas encore assez décidé pour pouvoir discerner ce qui est beau de ce qui n'est que baroque et singulier .
other,sing,cela est tout à la fois obscur et baroque .
other,sing,en six semaines on en fit dix huit editions toutes différentes et l'une plus baroque que l'autre .
other,sing,et actuellement même que je suis avec mon ami desgrieux quoique vous soyez baroque dans votre sentiment il s'élance cependant de desgrieux certains rayons de son amour de sa divinité même pour moi sur vous qui font que je vous trouve aimable .
other,sing,et ils appelleront baroque ce qui est harmonieux comme ils appellent simple ce qui est plat .
other,sing,et quand rameau fouloit aux pieds leurs préjugés nos pères ne manquoient pas de trouver baroque ce qu'il produisoit de véhément et de rapide .
other,sing,il ne s'apperçoit pas que placer ainsi une chûte de phrase au commencement d'un vers est tout ce qu'il y a de plus ridicule et de plus baroque et que alors pour me servir d'une expression triviale mais juste le vers tombe sur le nez ou plutôt qu'il n'y a plus de vers .
other,sing,il y en a une un peu moins baroque qui fut publiée en 1669 et attribuée à un autre médecin de paris nommé dufour de la crespiliere .
other,sing,j'admirais au commencement comment il peut être à la fois si baroque et si monotone .
other,sing,je parie à moins qu'elle ne soit baroque ou qu'elle ne dise rien qu'il la déchiffre encore à la première vue et la chante passablement .
other,sing,le plus baroque de tous ces êtres pour moi c'est un capitaine scheler des cercles qui viens de relever monsieur de reichlin au poste de freystadt qui servoit bien .
other,sing,mais si vous n'êtes bouillant et sublime dit encore le même philosophe vous ne serez que baroque et froid .
other,sing,mais si vous n'êtes bouillant et sublime vous ne serez que baroque et froid .
other,sing,mais continue monsieur rousseau si vous n'êtes bouillant et sublime vous ne serez que baroque et froid .
other,sing,peut-être lui manque-t-il un chant naturel et original et un peu plus de prononcé dans les intentions choses qui caractérisent le génie du fameux hayden à qui on ne peut reprocher que d'être quelquefois baroque quand il est épuisé par la quantité de traits de génie .
other,sing,rousseau dont la mélodie a le défaut d'être en même temps commune et baroque .
other,sing,voilà encore dans ce second couplet une façon de parler baroque que la tyrannie de la versification leur arrache .
other,sing,euterpe déesse de l'harmonie entre vivement et fredonne un italien baroque .
other,sing,c'est à toi seul que je la dois brutal durpetri dont la voix baroque et barbare a servi d'organe à la nature .
other,sing,le croirais tu imirce que cette bête malgré son ineptie et sa voix baroque ait la fureur de censurer la voix harmonieuse des cygnes et le chante délicat des jeunes oiseaux .
other,sing,quand ils furent arrivés à terre les matelots dont chacun était soutenu par deux sauvages furent conduits par un chemin étroit d'environ un quart de mille de longeur à leurs huttes où leur arrivé fut célébré au son d'un instrument très discordant qui n'était composé que de deux bâtons dentelés et acompagné d'une voix encore plus baroque et plus barbare .
other,sing,cela sera français selon vous et vous ferez un vers baroque .
other,sing,nous nous sommes souvent donné de la peine pour apprendre la cause de cet usage baroque .
other,sing,c'est beau vous disent ils en vous chantant quelque trait baroque .
other,sing,et confirme son dire burlesque par un trait encore plus baroque et qui ne sert plus guère que de lieu commun à tous nos faiseurs de contes .
other,sing,est un vers obscur et recherché vieillir de leur antiquité est une tournure baroque qui approche de la barberie .
other,sing,rends de ses mots la tournure baroque a ses discours donne un sens équivoque .
other,sing,détone à tort à travers prend de la dame en colère le ton baroque et les airs .
other,sing,enfin du p parti je n'entends plus le pas le q traînant sa queue et quelérant tout bas vient s'attaquer à l'u qu'à chaque instant il choque et sur le ton du k calque son ton baroque  et cetera .
other,sing,le q traînant sa queue et querellant tout bas vient s'attaquer à l'u qu'à chaque instant il choque et sur le ton du k calque son ton baroque .
other,sing,il importe peu que nos jeunes étourdis coupent leurs cheveux affectent une toilette baroque marchent sans graces montent à chevalier ridiculement estropient le français afin d'obtenir que quelque marchande de bouquets dise .
other,sing,a ce titre baroque et factice on reconnoit aisément l'auteur de la brochure ce protée littéraire qui depuis quelques années prend toutes sortes de formes non pas pour tromper ses semblables comme celui de la fable mais pour les éclairer et les intruire .
other,sing,a ce titre baroque et factice on reconnoît aisément m de voltaire l'auteur de cette brochure .
other,sing,il paraît un nouveau livre sous le titre baroque de l'an deux mille quatre cent quarante rêve s'il en fût jamais avec cette épigraphe .
other,sing,on en lisoit et l' on en peut lire encore la plus grande partie dans les ouvrages d'arnaud principalement dans l'écrit donné sous le titre baroque de pentalogus diaphoricus .
other,sing,où avez vous pris le titre baroque que vous donnez au public dans l'épître dédicatoire que vous lui adressez .
other,sing,pour étendre les leurs sur un acte équivoque ou sur un vieux titre baroque dont le chifre effacé rend le temps incertain .
other,sing,pour étendre les leurs sur un acte équivoque ou sur un vieux titre baroque dont le chiffre effacé rend le temps incertain je pense toutefois qu'il vaut mieux se deffendre .
other,sing,cependant ce n'est ici que de la théologie baroque .
other,sing,encore un terme baroque de logique .
other,sing,supposition aussi baroque qu'elle est insoutenable et contraire au bons sens .
other,sing,ce n'est pas monseiur que mon écriture souvent illisible mon style souvent baroque et indéchiffrable ne puisse vous servir d'excuse .
other,sing,il faut remarquer que les définitions dans cet ouvrage sont en général très claires et bien éloignées du style baroque et entortillé des jurisconsultes .
other,sing,je sais qu'à force de peine et de travail on peut se faire à toutes ces bizarreries et s'apprivoiser encore avec ce style baroque après s'être familiarisé avec les irrégularités affectées à la langue .
other,sing,je sais qu'à force de peine et de travail on peut se faire à toutes ces bizarreries et se familiariser encore avec ce style baroque après s'être familiarisé avec les irrégularités affectées à la langue .
other,sing,les baillifs concluent de ce style baroque et qui se sent encore de l'ancienne barbarie que ces quatre hauts justiciers étaient établis de toute ancienneté .
other,sing,mais elles sont écrites d'un style baroque capable d'effrayer le lecteur le plus intrépide et d'une dureté sans exemple depuis chapelain .
other,sing,naïveté suit ce style baroque qui réchauffant la plus froide équivoque en bel esprit il vous travestit un sot .
other,sing,naïveté suit ce style baroque .
other,sing,son style baroque répondoit à la bizarrerie et au déréglement de son esprit .
other,sing,et cette marche qui était toute de son invention formoit le spectacle le plus baroque et le plus ridicule .
other,sing,cependant l'habile anti-locke condamnoit cette ame à la mort pour l'âme n'ayant point de port ne sçachant où fourrer ce souffle si baroque il le détruisoit doucement ainsi qu'un foible son tiré d'un instrument .
other,sing,son départ va entraîner la dissolution de cette baroque société .
other,sing,ll y a dans le texte militia qui fait un sens baroque .
other,sing,quelques-uns composés de deux prépositions ou adverbes allemands seroient un sens bien baroque en les séparant .
other,sing,elle paraît d'abord effrayée et ensuite contrefait un rire baroque .
other,sing,zinca paraît effrayée et ensuite contrefait un rire baroque .
other,sing,et ce boileau tant vanté n'était qu'un rimeur baroque quand il a dit .
other,sing,et ce nonobstant clameur de critique satyre chagrine et même toute remontrance baroque de mon bon sénat l'académie française auquel nous interdisons dès-à-présent toute connaissance des contestations nées et à naître à ce sujet en réservant le jugement définitif à mondit successeur si le cas y échoit .
other,sing,je ne sais s'il fut jamais raisonnement plus baroque et moins probant .
other,sing,voilà un quoique que l'on m'avouera être très mal placé et qui fait un raisonnement baroque .
other,sing,de dix vers blancs où le bons sens domine que de forger et bistourner exprès prose baroque où la rime chemine .
other,sing,mais en se regardant les uns et les autres sur un procedé si baroque ils ne purent s'empêcher de rire .
other,sing,elle accourut et reprocha tant qu'elle put au grand oiseau ce procédé baroque .
other,sing,mais en se regardant les uns et les autres sur un procédé si baroque ils ne purent s'empêcher de rire .
other,sing,d'autre part il avait la prétention - baroque chez lui - de réhabiliter les filles publiques .
other,sing,il n'y a pas de plus grand défaut que celui là si ce n'est peut être celui d'un poète baroque qui prend une bizarrerie grotesque pour l'originalité une trivialité bouffonne pour de la gaieté naïve et qui estropiant sans cesse la langue et disloquant la poesie choque à la fois le plus rudement du monde le bon goût le bons sens et l'oreille .
other,sing,le mexique conquis poème baroque .
other,sing,le plaidoyer baroque de l'intimé dans racine fut calqué sur ceux que l'on débitoit tous les jours au palais .
other,sing,le plaidoyer baroque de l'intimé dans racine ouvrit les yeux .
other,sing,cette pièce baroque a été imprimée avec des notes .
other,sing,ce dialogue fixa mon attention sur un personnage assez baroque assis devant une table du café du caveau côté de philidor occupé d'un petit verre qu'il achevoit à plusieurs reprises .
other,sing,les deux premiers numéros du journal de camille desmoulins n'ont servi qu'à jeter de nouveaux doutes sur l'opinion que je m'étois formée du caractère intermittant de ce baroque personnage .
other,sing,mais je ne puis soutenir le personnage baroque et dénué de vraisemblance qu'on fait jouer à ce huron sur la scène .
other,sing,je fis encore avec la comtesse et l'abbé une partie plus baroque que celle-ci .
other,sing,je ne crois pas qu'on ait jamais pu inventer un outil aussi baroque .
other,sing,momus ce dieu porte marotte souverain de la gent falotte ayant trouvé certain écrit qui dans lutece fait grand bruit appellé marie alacoque voulut s'éclaircir en secret pourquoi donc un chacun s'en mocque et le traite d'oeuvre baroque qui mérite peu de respect .
other,sing,c'est un nom si baroque .
other,sing,ce nom baroque passoit ci-devant pour désigner une espèce de terre calcaire très fine .
other,sing,ceux qui l'ont fait ont imaginé un nom baroque pour cacher celui du véritable auteur et ils le supposent écrit à rome .
other,sing,christine trouvant son nom baroque le nomma struzzo .
other,sing,elle m'a dit que je les trouverois en demandant le nom d'une autre de leurs filles  puisqu' elle doit être l'unique dans le royaume qui porte un nom si baroque .
other,sing,le moindre plat c'est lui qui l'intitule d'un nom baroque et très mal assorti .
other,sing,le mot allemand est erd-apfel ou erd oepfel ce qui a produit le nom baroque de artoffel .
other,sing,nom baroque qu'on donne en logique à un syllogisme dont la majeure doit être universelle affirmative la mineure universelle négative et la conclusion particulière négative .
other,sing,un milord au nom baroque à l'esprit aimable m'a rendu une lettre de votre part .
