category,sentence_mod_orth
animal,la genette habite l'espagne la turquie européenne et delà vient qu'elle est plus petite plus douce et moins cruelle que la civette.
animal,la genette il est vrai a comme la civette et le zibet un sac dans lequel se filtre une espèce de parfum.
animal,la longeur de la tête de la civette la petitesse de ses pattes la rudesse de son poil la douceur des pointes de sa langue la couleur et la forme de ses ongles et la ténacité de sa voix sont des caracteres tout-à-fait différents de ceux qui se voient dans toutes les espèces de chats.
animal,le sac du parfum commun à la civette mâle et femelle et situé entre l'anus et le sexe de l'animal a son ouverture parallèle à celle de l'anus.
animal,le suc nouvellement extrait des poches de la civette est onctueux d'une coulour jaune-pâle de la consistance du miel d'une saveur un peu âcre d'une odeur forte.
animal,le zibet est vraisemblablement la civette de l'asie des indes orientales et de l'arabie.
animal,les deux principales marques que les anciens disent convenir à leur hyène se trouvent aussi dans la civette.
animal,les uns veulent que ce soit un animal à quatre pieds et en font une espèce de loup de chat de fouine ou de civette.
animal,leur espèce tient un peu de celle des fouines elles sont les antipodes de la civette et de la genette.
animal,mais au contraire ajoute m perrault il y a dans la description que les anciens ont faite de leur hyène quantité de choses qui ne conviennent point à la civette.
animal,mais scaliger ruel matthiole léon africain busbec aldrovandus et autres modernes veulent que la civette ait été inconnue aux anciens et que ce soit une espèce de chat.
animal,odeur très-agréable renfermée dans une manière de bourse qui est autour des aines de l'animal qu'on apelle civette.
animal,on en avait grossiérement découpé toutes les parties et on n'avait épargné que le sac où la civette porte son parfum.
animal,on ne conçoit pas comment les anciens qui se sont tant étendus sur les propriétés de l'hyène auroient oublié de nous parler de son odeur singuliere si c'eût été la civette.
animal,pour le recueillir on met la civette dans une cage étroite dans laquelle il lui est impossible de se retourner.
animal,presque tous les naturalites avaient confondu la civette et le zibet et les avaient cru de la même espèce.
animal,puisqu'il n'est pas même absolument démontré que la civette et le zibet ne soient pas des variétés d'une espèce unique.
animal,quelques naturalistes ont compris dans le genre du chien le loup le renard la civette le blaireau la loutre afin de donner une idée des principaux caractères distinctifs de ces animaux quadrupedes par un objet de comparaison bien connu.
substance,a la gomme dont vous prétendez faire usage ajoutez deux gros de musc et un demi-gros de civette.
substance,au lieu de tirer de l'huile il faut faire une teinture de cannelle qui approchera fort de la quintessence huileuse en la faisant aux esprits rectifiés comme celle de l'ambre du musc et de la civette.
substance,aujourd'hui la civette est encore conseillée dans quelques compositions pharmaceutiques.
substance,aussi la civette du mâle a une odeur plus forte et plus agréable que celle de la femelle.
substance,avant d'expliquer ces trois sortes de quintessences il faut dire ce que c'est que le musc et la civette.
substance,car quand on n'a point pris ces précautions on ne tire que la civette brune qui à la verité a autant d'odeur et de qualité que la blanche mais les marchands n'en auroient pas de débit à cause que les perfumeurs qui l'employent sont accoutumez à la voir blanche ou jaunâtre.
substance,cette opération est une extraction des parties les plus huileuses de l'ambre gris du musc et de la civette faite dans l'esprit-de-vin.
substance,ceux dont les principes ont fermenté comme ce qu'on appelle improprement testicule de castor l'urine le musc la civette les excréments de plusieurs animaux sont propre les uns pour l'épilepsie pour l'apoplexie pour la paralysie les autres pour les maladies hystériques parce que leur substance volatile montant au cerveau fortifie l'origine des nerfs.
substance,comme les odeurs font partie de la distillation et que nous tâchons d'être utile à tous égards et à autant de personnes que nous pourrons nous allons traiter en bref des esprits d'odeurs et comme l'ambre le musc et la civette ont été de tous temps l'ame des odeurs.
substance,comme parfumeurs ils peuvent appliquer sur les gants et débiter touts sortes de parfums tels que sont le musc l'ambre gris la civette et toutes autres sortes d'odeurs.
substance,de plus on ne peut pas dire que cette civette ou ce musc qu'on a ainsi appliqués produisent une bonne odeur.
substance,enfin les parfums tels que l'ambre la civette le musc et autres substances semblables excitent des paroxysms violents par une qualité particuliere.
substance,il faut choisir la civette nouvelle d'un bonne consistence c'est-à-dire ni trop dure ni trop molle d'une couleur blanche et d'une odeur forte et assez désagréable.
substance,il faut joindre à une once de gomme adragant détrempée dans l'eau de rose deux onces d'huile de ben au jasmin et un demi-gros de civette.
substance,il faut préféer la civette du mâle à celle de la femelle laquelle est souvent mêlée avec l'urine de la bête qui l'altère beaucoup.
substance,l'addition du musc et de la civette fait un bon effet.
substance,l'odeur de la civette est trop forte quand elle est toute seule.
substance,l'odeur de la civette quoique violente est plus suave que celle du musc.
substance,la civette conservée s'épaissit et prend une couleur plus foncée.
substance,la civette contient beaucoup d'huile et du sel volatil.
substance,la civette de cette ville ayant la préférence surtout celle qui vient du levant et des indes elle se vend à l'once qui coute ordinairement depuis 28 jusqu'à 30 florins.
substance,la civette entre dans plusieurs parfums.
substance,la civette est une liqueur épaisse et odoriférante qu'on tire d'un animal qui porte le même nom.
substance,la civette est une substance onctueuse pâle-jaunâtre de la consistance de miel ou de beurre d'une saveur un peu âcre d'une odeur balsamique très-pénétrante.
substance,la civette faite à amsterdam est préférée par les commerçans à celle qui vient du levant ou des indes qui est ordinairement moins pure.
substance,la civette lorsqu'elle est nouvelle est blanche elle n'est pas encore en état d'être employée et lorsqu'elle est trop vieille elle est toute brune elle n'est pas bonne non plus.
substance,la plupart des naturalistes dit-il ont cru qu'il n'y avait qu'une espèce d'animal qui fournit le parfum qu'on appelle civette.
substance,la pluspart des naturalistes ont cru qu'il n'y avait qu'une espèce d'animal qui fournit le perfum qu'on appelle la civette.
substance,la poche ou le sac où est le parfum qu'on appele civette est au dessous de l'anus.
substance,la poche qui renferme la civette est ordinairement placée au dessous de l'anus.
substance,le retranchement de ces mêmes ingrédients dans la préparation dont il s'agit fait encore un meilleur effet car il est beaucoup de personnes de l'un et de l'autre sexe qui ne peuvent point supporter l'odeur du musc ni de la civette et auxquelles ces deux parfums causent une migraine violente ou des mouvements convulsifs.
substance,les hommes aussi bien que les femmes s'oignent au moins une fois par jour avec de la graisse de chameau mêlée avec de la civette.
substance,les parfumerus et les  confiseurs emploient la civette dans le mélange de leurs aromats.
substance,mais leur forte odeur de musc d'ambre et de civette que l'on ne pouvoit sourtenir sans incommodité a fait que la mode et l'usage s'en sont presque perdus.
substance,mais on me dira peut-être qu'on applique souvent un grain de musc ou de civette sur l'ombilic pour faire abbaisser la matrice et pour calmer les vapeurs.
substance,nous devons néanmoins observer qu'on préfére alors le musc à la civette et qu'on s'en sert plus fréquemment pour parfumer.
substance,on doit choisir la civette récente de bonne consistance de couleur blanche d'une odeur forte et qui n'est point agreable elle jaunit pui elle brunit en vieillissant.
substance,on en nourrit en hollande avec du lait et des oeufs afin que la civette qui en sort soit blanche.
substance,on fait aussi avec la civette le musc et l'ambre gris incoporés avec une huile par expression un onguent dont on frotte les aines et les lombes pour exciter l'acte vénérien.
substance,on n'y donne à ces animaux que des jaunes d'oeufs avec du lait et on prétend que c'est cette nourriture qui rend la civette de ce pays-là plus blanche que celle qui vient d'afrique et des indes orientales parce que ces animaux étant nourris de chair comme il arrive quand ils sont libres ou qu'on les tient enfermés dans des cages cette nourriture contribue infiniment à donner à leur sueur une couleur grise qui se change bientôt en brune.
substance,on ne prescrit jamais actuellement la civette en médecine quoiqu'on l'ait employée autrefois comme corroborante cordiale sudorifique antispasmodique.
substance,on vient de voir que les sacs qui servent à la sécrétion de la matière odorante que produit la civette font au-dessous de l'anus.
substance,pour faire cette eau d'odeur on emploie la quintessence d'ambre gris la plus pure et la meilleure qu'il est possible sans mélange de musc et de civette.
substance,prenez deux dragmes de bon ambre gris autant de sucre candi demi-dragme de musc et deux grains de civette.
substance,si pour charger vos éventails vous vous servez de compositions dans lesquelles il entre plus de civette que d'autre parfums vous ferez usage des fleurs.
substance,si vous ne faites qu'à la civette ou au musc vous ne mettrez qu'une de ces matières dans ladite phiole ou bouteille mais toujours avec de l'esprit-de-vin rectifié.
substance,suivant carthenser il n'y a presque point de différence entre le musc et la civette.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
