sentence,sense,kinds,music,form,language,aesthetics,instances,pos,modified_noun,dep_parse
mais si d'après ces autorités un philosophe à larges manches plus grand que vous de tout son bonet quarré vous prouvait ce point d'histoire par les règles d'aristote peut-être seriez-vous forcé ébloui de ses syllogismes in baroco de dire comme maître jacques  .,baroco,baroco,-,-,-,-,1783ka,-,-,-
les unes ont une lèvre épaisse avec une clavicule garnie de quelque tubercules tandis que les autres ont une lèvre mince avec une volute simplement baroque dépourvue de tubercules .,form,form,-,volute,-,-,1775,adjective,volute,amod
la caillou du rhin que l'on trouve aujourd'hui dans le lit de ce fleuve n'est autre chose qu'un canon de crystal de roche qui s'est détaché du rocher et qui à force de rouler parmi les autres pierres qui sont dans le rhin a usé les vives arrêtes de ses faces et est devenu par le laps du temps comme un cabochon d'une rondeur baroque .,form,form,-,rondeur,-,-,1762g,adjective,rondeur,amod
un perle d'orient forme en poire baroque doux un peu plombée d'un côté pesant vingt cinq grains ou six karats quatre seizes estimée deux cents livres .,form,form,-,poire,-,-,1791i,adjective,poire,amod
une grande huître extrêmement baroque et presque noire en dehors et en dedans .,form,form,-,huître,-,-,1736c,adjective,huître,amod
nous devons même voir la raison pour laquelle la larve fait souvent entrer dans la composition de son fourreau des pièces qui gâtent la symétrie des autres et qui lui donnent une forme désagréable et tout à fait baroque .,form,form,-,forme,-,-,1737d, 1738c, 1791b,adjective,forme,-
on détache cette nacre et on la travaille sur le tour pour lui donner la forme ronde ovale ou baroque ou la figure de poire suivant les perles qu'on veut imiter .,form,form,-,forme,-,-,1766e, 1767_wh, 1767g, 1773o,adjective,forme,-
cette vis est d'une forme peu régulière et même baroque composée de neuf ou dix spires couronnées en partie de tubercules aigus principalement vers le milieur de la coquille .,form,form,-,forme,-,-,1775b,adjective,forme,-
qui a une forme irrégulière baroque .,form,form,-,forme,-,-,1798_wj,adjective,forme,-
ses fruits sont de la grosseur d'un oeuf et quelque fois deux et trois fois plus gros d'une forme baroque garnis de pointes et de noeuds dans leur circonférence de couleur blanche en dedans et rougeâtre en dehors .,form,form,-,forme,-,-,1749_m,adjective,forme,amod
un madréporte fort singulier et plat de forme ronde d'un pied un pouce de diamètre et feuilles fort minces espèce de cerveaux marins astroïtes dont le dessous est d'une forme baroque où il y a une coquille d'une huître épineuse fond rouge et une petite datte .,form,form,-,forme,-,-,1756h,adjective,forme,amod
elles sont branchues et d'une forme baroque la plupart d'un blanc jaunâtre et quelques unes bleues en dedans et toues couvertes d'une écorce blanchâtre plus ou moins épaisse enclavées les unes dans les autres .,form,form,-,forme,-,-,1768xa,adjective,forme,amod
les graines sont plates de forme très baroque cendrées et ont un bon goût de pois .,form,form,-,forme,-,-,1767m,adjective,forme,amod
ses fruits son triangulaires bruns ridés de forme baroque d'un bon pouce de diamètre et d'environ deux pouces de longeur .,form,form,-,forme,-,-,1767,adjective,forme,amod
celles qui font effervescence aux acides sont crétacées communément de couleur ou grise ou bleuâtre et de forme baroque .,form,form,-,forme,-,-,1774q, 1775v, 1776e, 1780, 1791x,adjective,forme,amod
coquille univalve du genre des buccins à canal court et retoussé ainsi appellée à cause de sa forme baroque et de travers qui regne dans toutes ses parties .,form,form,-,forme,-,-,1775,adjective,forme,amod
coquille univalve du genre des buccins de l'espèce triangulaire ainsi appellée à cause de sa forme baroque .,form,form,-,forme,-,-,1775b,adjective,forme,amod
dans les bivalves sont l'huître commune qui se colle aux rochers et d'une forme si baroque qu'on ne peut l'ouvrir qu'à coups de marteau .,form,form,-,forme,-,-,1773y,adjective,forme,amod
ils sont arrondis obtus un peu aigus ou aplatis allongés ou de forme baroque .,form,form,-,forme,-,-,1775c,adjective,forme,amod
l'huître commune qui se colle aux rochers et d'une forme si baroque qu'on ne peut l'ouvrir qu'à coups de marteau .,form,form,-,forme,-,-,1773d,adjective,forme,amod
on aura autant de petit cailloux compacts bien propres et d'une forme baroque qu'on a de pessaires à couvrir et dont le poids doit excéder un peu celui de chaque morceau de liége .,form,form,-,forme,-,-,1770d,adjective,forme,amod
elles vont toujours en s'élévant de plus en plus et à l'endroit le plus élevé de la chaîne elle est coupée de vallées profondes bordé d'escarpemens dont il s'éleve des sommités de rochers singulièrement déchiquetés dont la forme baroque est occassionée par la décomposition du granit ou pierre de roche dont toutes ces montagnes et la majeure partie de celles de la daurie sont composées .,form,form,-,forme,-,-,1787y, 1791z,adjective,forme,amod
la grande moule bleue et celle appelée la tulipe et plusieurs petites moules striées de forme baroque .,form,form,-,forme,-,-,1780xd,adjective,forme,amod
une sardoine de forme baroque parsemée de petits yeux de sardonyx dont les zones sont d'un blanc mat et les prunelles marron .,form,form,-,forme,-,-,1780_ba,adjective,forme,amod
la forme que plusieurs de ces teignes donnent à leur fourreau est tout-à-fait baroque dit m de réaumur .,form,form,-,forme,-,-,1759_wh,adjective,forme,nsubj
cette espèce dont la figure est singulière et extrêmement baroque représente assez bien un t dans sa forme pliée  peut avoir jusqu'à plus de cinq pouces de longueur .,form,form,-,figure,-,-,1775,adjective,figure,-
la coquille des pourpres a tantôt dans son ensemble une forme triangulaire tantôt une figure arrondie ou baroque .,form,form,-,figure,-,-,1775c,adjective,figure,-
sa bouche est extrêmement étroite et d'une figure baroque .,form,form,-,figure,-,-,1736c,adjective,figure,amod
cette petite espèce est d'une figure baroque principalement dans ses spires qui sont compliquées de diverses cavités et sinuosités .,form,form,-,figure,-,-,1775c,adjective,figure,amod
la figure de ce limaçon conique ou sabot est baroque par ses spires rentrantes et comme martelées .,form,form,-,figure,-,-,1775,adjective,figure,nsubj
les côtes malouines sont de roc dur baroque .,form,-,-,-,-,-,1791u,adjective,roc,amod
et l'enroué ne chantera t il ses louanges que d'une voix discordante et baroque .,other,music,voix,-,-,-,1767yu, 1786xa, 1794c, 1794rt,adjective,voix,-
c'est à toi seul que je la dois brutal durpetri dont la voix baroque et barbare a servi d'organe à la nature .,other,music,voix,-,-,-,1765xxc, 1774sj, 1776sj, 1782ks,adjective,voix,amod
le croirais tu imirce que cette bête malgré son ineptie et sa voix baroque ait la fureur de censurer la voix harmonieuse des cygnes et le chante délicat des jeunes oiseaux .,other,music,voix,-,-,-,1765xxc, 1774sj, 1776sj, 1782ks,adjective,voix,amod
quand ils furent arrivés à terre les matelots dont chacun était soutenu par deux sauvages furent conduits par un chemin étroit d'environ un quart de mille de longeur à leurs huttes où leur arrivé fut célébré au son d'un instrument très discordant qui n'était composé que de deux bâtons dentelés et acompagné d'une voix encore plus baroque et plus barbare .,other,music,voix,-,-,-,1766b,adjective,voix,amod
une musique légère et baroque élève l'âme jusqu'aux cieux par une sainte gigue .,other,music,musique,-,-,-,1742ig, 1742sk, 1749cca, 1753_ac, 1754cca, 1758a, 1761ccb,adjective,musique,-
en allant le goût italian au nôtre nous rendrions notre musique dure baroque et presque inchantable .,other,music,musique,-,-,-,1753_al, 1754k, 1754l,adjective,musique,-
loin de nous toute musique efféminée baroque bruyante ou qui ne peint rien .,other,music,musique,-,-,-,1771_m, 1774_m, 1774m, 1776xa, 1777s, 1791_l, 1793_m, 1798l,adjective,musique,-
penser cependant d'une musique qui à nos yeux doit être baroque sans mélodie et sans harmonie et qui cependant parle au coeur des naturels du pays .,other,music,musique,-,-,-,1780b,adjective,musique,-
la musique dure et baroque n'est telle que parce que les sons ne sont point fondus .,other,music,musique,-,-,-,1797_ak,adjective,musique,-
on accusait sa musique de n'être que difficilee et baroque .,other,music,musique,-,-,-,1790j,adjective,musique,-
ainsi puisse prospérer la musique baroque dans le profane  puisqu'elle n'y est ni plus significative ni plus scandaleuse qu'une grêle de coups qu'on ferait tomber sur un coffre .,other,music,musique,-,-,-,1746tt, 1747_n, 1747, 1752, 1755, 1763, 1770a, 1771ui,adjective,musique,amod
c'est le travers dans lequel donne la musique baroque .,other,music,musique,-,-,-,1746tt, 1747_n, 1747, 1752, 1755, 1763, 1770a, 1771ui,adjective,musique,amod
il donne avec beaucoup de raison pour département à la musique baroque les spectacles et les concerts où elle ne peut être ni plus significative ni plus scandaleuse qu'une grêle de coups qu'on ferait tomber sur un coffre .,other,music,musique,-,-,-,1748i,adjective,musique,amod
il donne pour département de la musique baroque les théâtres et concerts pour n'y amuse que par du bruit sans s'embarrasser de rien exprimer .,other,music,musique,-,-,-,1748i,adjective,musique,amod
l'intention des assemblées chrétiennes et les sujets qui s'y chantent sont incompatibles soit avec les boutades soit avec la précipitation de la musique baroque .,other,music,musique,-,-,-,1746tt, 1747_n, 1747, 1752, 1755, 1763, 1770a, 1771ui,adjective,musique,amod
la musique baroque restera en possession des spectacles et des concerts publics où la musique chantante causait autrefois des maux infinis .,other,music,musique,-,-,-,1746tt, 1747_n, 1747, 1752, 1755, 1763, 1770a, 1771ui,adjective,musique,amod
leur disait-elle nous nous acommoderons je ménagerai une transactions entre la musique baroque et la musique .,other,music,musique,-,-,-,1747a,adjective,musique,amod
mais quel avantage pourra-t-on tirer de la musique baroque .,other,music,musique,-,-,-,1746tt, 1747_n, 1747, 1752, 1755, 1763, 1770a, 1771ui,adjective,musique,amod
notre auteur appelle cette musique baroque il donne à l'autre le nom de chantante .,other,music,musique,-,-,-,1748i,adjective,musique,amod
nous la nommerons la musique baroque .,other,music,musique,-,-,-,1746tt, 1747_n, 1747, 1752, 1755, 1763, 1770a, 1771ui,adjective,musique,amod
par exemple il pourra comme l'a déjà fait un musicien parfaitement convaincu du vrai usage de la musique baroque .,other,music,musique,-,-,-,1746tt, 1747_n, 1747, 1752, 1755, 1763, 1770a, 1771ui,adjective,musique,amod
pour faciliter à l'amiable les progrès de la musique baroque et pour décréditer ou ruiner dans les familles le dangereux goût des chants du siècle passé il sera permis aux villes les plus médiocrement riches de se donner à grands frais un opéra ou du moins un concert public où les honnêtes fainéants du pays puissent avoir à discrétion des sonnates qui ne significen rien et de l'italien qu'ils n'entendent point ou du français qui se convertit pour eux en arabe par les cascades et par les hoquèts de la prononciation .,other,music,musique,-,-,-,1746tt, 1747_n, 1747, 1752, 1755, 1763, 1770a, 1771ui,adjective,musique,amod
de baroque musique faites un choix fabriquez moi un opéra car tel qu'il sera on l'applaudira .,other,music,musique,-,-,-,1756k, 1767ls,adjective,musique,amod
l'auteur parcoure les divers ridicules qu'il croit devait reprendre dans le goût moderne et il s'élève ainsi contre la musique baroque .,other,music,musique,-,-,-,1753r,adjective,musique,amod
une musique baroque est celle dont l'harmonie est confuse chargée de modulations et de dissonances le chant dur et peu naturel l'intonation difficilee et le mouvement contraint .,other,music,musique,-,-,-,1766q, 1768l, 1769i, 1771_k, 1781ca, 1782d, 1785t, 1791a, 1793a, 1796,adjective,musique,amod
il fait ensuite une division de la musique en musique chantante et musique baroque .,other,music,musique,-,-,-,1775_wp,adjective,musique,amod
ils ne peuvent manquer de plaire à ceux qui préférent aux difficultés d'une musique baroque un chant agréable varie et semé de traits neufs .,other,music,musique,-,-,-,1770xe,adjective,musique,amod
le poème est si mauvais que les acteurs même n'y peuvent déployer aucun jeu et la musique si baroque que le chanteur n'y trouve rien à exprimer .,other,music,musique,-,-,-,1777q, 1780x, 1784x,adjective,musique,amod
on s'est lassé de se promener en long et en large ou plutôt d'être coudoyé en tout sens dans un salon et sous des galeries mal peintes au son d'une musique baroque .,other,music,musique,-,-,-,1771_r, 1775_n, 1776b, 1780_r, 1782_r,adjective,musique,amod
si cela est comme on n'en peut pas douter ne soyons point étonnés de la musique baroque dont on nous écorche aujourd'hui les oreilles .,other,music,musique,-,-,-,1772,adjective,musique,amod
on entendait quelques pétards puis on se promenait dans une vaste solitude sous des galeries mal peintes au son d'une musique baroque .,other,music,musique,-,-,-,1783xm,adjective,musique,amod
on trouva sa musique baroque et barbare .,other,music,musique,-,-,-,1780b, 1780xb,adjective,musique,amod
retournez chez vos compatriotes et leur faites entendre votre musique baroque qui n'a ni sens ni raison .,other,music,musique,-,-,-,1789xq, 1797_aj,adjective,musique,amod
on nous donne quelque menuet baroque .,other,music,menuet,-,-,-,1783bba, 1785_l, 1785jk,adjective,menuet,amod
les personnes trop peu exercées pour saisir cette mélodie disent qu'elle est baroque .,other,music,mélodie,-,-,-,1764j, 1765c,adjective,mélodie,-
jamais il n'est permis de la rendre dure et baroque .,other,music,mélodie,-,-,-,1789xq, 1790w, 1790x, 1797_aj,adjective,mélodie,-
au milieu de cette foule de grands hommes qui croirait que la nobile direzzione de milan se sait adressée à un allemand à un barbare au chevalier gluck enfin qui selon plusieurs connaisseurs de café n'a ni chant ni mélodie n'a qu'une harmonie baroque et criarde un style tudesque usé raboteux qui n'a aucune réputation en italie et n'y a eu aucun succès .,other,music,harmonie,-,-,-,1777ca, 1778xxb,adjective,harmonie,amod
n'a qu'une harmonie baroque et criarde un style tudesque usé raboteux qui n'a aucune réputation en italie et n'y a eu aucun succès .,other,music,harmonie,-,-,-,1781g,adjective,harmonie,amod
votre rameau il est sec il est sauvage il n'a jamais su arranger un partition il n'a jamais de chant son harmonie est si baroque si revêche .,other,music,harmonie,-,-,-,1774u, 1774v,adjective,harmonie,nsubj
les seconds que cela choque disent que gluck est baroque .,other,music,Gluck,-,-,-,1780_wa, 1781v, 1785bm,adjective,Gluck,nsubj
c'est titre le plus singulier le plus baroque le plus étrange enfin qui soit peut-être parmi toutes les pièces connues .,other,language,-,-,titre,-,1790c, 1792,adjective,titre,-
pour étendre les leurs sur un acte équivoque ou sur un vieux titre baroque dont le chiffre effacé rend le temps incertain je pense toutefois qu'il vaut mieux se deffendre .,other,language,-,-,titre,-,1750q, 1759o,adjective,titre,amod
pour étendre les leurs sur un acte équivoque ou sur un vieux titre baroque dont le chifre effacé rend le temps incertain .,other,language,-,-,titre,-,1746xx,adjective,titre,amod
où avez vous pris le titre baroque que vous donnez au public dans l'épître dédicatoire que vous lui adressez .,other,language,-,-,titre,-,1761xxb, 1769a,adjective,titre,amod
a ce titre baroque et factice on reconnait aisément l'auteur de la brochure ce protée littéraire qui depuis quelques années prend toutes sortes de formes non pas pour tromper ses semblables comme celui de la fable mais pour les éclairer et les intruire .,other,language,-,-,titre,-,1768ma, 1777b, 1780u, 1784w,adjective,titre,amod
il paraît un nouveau livre sous le titre baroque de l'an deux mille quatre cent quarante rêve s'il en fût jamais avec cette épigraphe .,other,language,-,-,titre,-,1777q, 1780d, 1784xb,adjective,titre,amod
on en lisait et l'on en peut lire encore la plus grande partie dans les ouvrages d'arnaud principalement dans l'écrit donné sous le titre baroque de pentalogus diaphoricus .,other,language,-,-,titre,-,1790_k, 1791xg,adjective,titre,amod
le titre en est très baroque et très long .,other,language,-,-,titre,-,1786v,adjective,titre,nsubj
et ce boileau tant vanté n'était qu'un rimeur baroque quand il a dit .,other,language,-,-,rimeur,-,1778x, CHECK,adjective,rimeur,amod
il n'y a pas de plus grand défaut que celui là si ce n'est peut être celui d'un poète baroque qui prend une bizarrerie grotesque pour l'originalité une trivialité bouffonne pour de la gaieté naïve et qui estropiant sans cesse la langue et disloquant la poesie choque à la fois le plus rudement du monde le bon goût le bons sens et l'oreille .,other,language,-,-,poète,-,1782_b, 1782xs,adjective,poète,amod
elle m'a dit que je les trouverais en demandant le nom d'une autre de leurs filles  puisqu'elle doit être l'unique dans le royaume qui porte un nom si baroque .,other,language,-,-,nom,-,1743f, 1744_a, 1750_q, 1775_a, 1781a, 1782a, 1797,adjective,nom,amod
le moindre plat c'est lui qui l'intitule d'un nom baroque et très mal assorti .,other,language,-,-,nom,-,1750p, 1760_f, 1760_h, 1760_n, 1760_p, 1760m, 1764p, 1789_f, 1790_f, 1790ccc,adjective,nom,amod
christine trouvant son nom baroque le nomma struzzo .,other,language,-,-,nom,-,1760l,adjective,nom,amod
le mot allemand est erd-apfel ou erd oepfel ce qui a produit le nom baroque de artoffel .,other,language,-,-,nom,-,1777cca, 1777jjb, 1778ea, 1779_e, 1779_wf, 1781ja,adjective,nom,amod
c'est un nom si baroque .,other,language,-,-,nom,-,1781f, 1783fh, 1787ya, 1788_q, 1793gx,adjective,nom,amod
ce nom baroque passait ci-devant pour désigner une espèce de terre calcaire très fine .,other,language,-,-,nom,-,1785xa,adjective,nom,amod
nom baroque qu'on donne en logique à un syllogisme dont la majeure doit être universelle affirmative la mineure universelle négative et la conclusion particulière négative .,other,language,-,-,nom,-,1788c,adjective,nom,amod
un milord au nom baroque à l'esprit aimable m'a rendu une lettre de votre part .,other,language,-,-,nom,-,1788xe, 1789ccb, 1789xs,adjective,nom,amod
ceux qui l'ont fait ont imaginé un nom baroque pour cacher celui du véritable auteur et ils le supposent écrit à rome .,other,language,-,-,nom,-,1798h,adjective,nom,amod
le nouveau couple commence sa carrière à la sortie de la cage prend maison et un nom qui étant composé des deux moitiés des familles respectives est toujours baroque va à la cour où il est fort fêté brigue des emplois et obtient tout ce qu'il désire parce que ceux qui briguent pour lui sont les maisons d'où il sort .,other,language,-,-,nom,-,1788xxxa,adjective,nom,nsubj
voilà un mot bien baroque .,other,language,-,-,mot,-,1724xxa, 1726a,adjective,mot,amod
le titre seul du coup d'oeil purin fort étendu en donne l'explication et sert comme de commentaire à ce mot baroque .,other,language,-,-,mot,-,1777, 1780a, 1784y, 1785q,adjective,mot,amod
mais un mot baroque qu'ils répètent si souvent a enfin forcé mon attention .,other,language,-,-,mot,-,1786g,adjective,mot,amod
un enfant qui sait ce mot baroque est fort instruit pour la société .,other,language,-,-,mot,-,1788c,adjective,mot,amod
elle vit que les habitans étaient dans des contestations perpétuelles un même esprit d'une chicanne peu différente les animait dans leurs querelles et un langage également baroque servait à les exprimer celles du païs ou l'on entrait en mauvais latin et celles du climat que l'on quittait en un jargon qui tenait de l'ancien roman qui n'était ni français ni latin .,other,language,-,-,langage,-,1741,adjective,langage,amod
ensuite ronsard avec son même langage baroque décrit comment la sience poétique passa de l'orient en occident et parvint en angleterre .,other,language,-,-,langage,-,1753y,adjective,langage,amod
envoyez moi donc je vous prie l'énumération de vos infirmités et de vos misères en termes barbares et en langage baroque et cela avec toute l'exactitude possible .,other,language,-,-,langage,-,1784rt, 1785c, 1788a, 1789_e, 1789cca, 1789xr, 1790ccc, 1792ccb, 1796xxxa,adjective,langage,amod
la philosophie du dogme et des controverses y introduit un langage baroque et néologue qui acheva leur ruine .,other,language,-,-,langage,-,1780xi,adjective,langage,amod
leur langage baroque effarouche les graces et fait fuir les amours qui volaient sur leurs traces .,other,language,-,-,langage,-,1786xf, 1786xg,adjective,langage,amod
en un mot c'est un langage si baroque si étrangement néologique qu'on peut assurer qu'un étranger qui saurait parfaitement notre langue et qui lirait couramment nos classiques ne pourrait pas lire un e page de m deleyre sans être arrêté à tout moment et sans demander si l'auteur a parlé français et ce qu'il a voulu dire .,other,language,-,-,langage,-,1792w,adjective,langage,amod
je vous dirai mon cher ami que je m'exprime plus aisément maintenant dans ce langage baroque et musical que je n'ai jamais fait en français .,other,language,-,-,langage,-,1797w,adjective,langage,amod
figaro se pique d'être grammairien quoique son langage soit souvent baroque et qu'en se servant de termes didactiques il les estropie par fois je le lui pardonne .,other,language,-,-,langage,-,1799a,adjective,langage,nsubj
d'imbéciles fainéants et fainéantes qui végetent dans les villes et qui comme les perroquets ne savent que proférer des mots vuides de sens et d'idées se craient beaucoup d'esprit quand ils tournent en ridicule d'honnêtes et de sages agriculteurs qui ne comprenant rien à leur jargon baroque et d'amusant pour l'instant de leur folle étourderie les méprisent en les plaignant .,other,language,-,-,jargon,-,1777a,adjective,jargon,amod
non seulement on est fatigué au bout de trois pages de leur tournure bizarre et de leur jargon baroque mais ce qu'il y a de pis c'est qu'on y trouve très peu d'esprit et pas une idée sur l'art .,other,language,-,-,jargon,-,1776xn,adjective,jargon,amod
non seulement on est fatigué au bout de trois pages de leur tournure bizarre et de leur jargon baroque .,other,language,-,-,jargon,-,1778jja,adjective,jargon,amod
je lui fis la révérence et lui dis que j'étais fort sa servante et qu'il fallait aller chez mon maître sur quoi conversation m'a poursuivie en un jargon baroque jusqu'à ce qu'il me perdit de vue .,other,language,-,-,jargon,-,1788b, 1788jja, 1789_ac, 1789io, 1790ccd,adjective,jargon,amod
ce qui a paru de lui dans le public se réduit à des odes au-dessous de médiocre à une saytre sur le goût dont les principes sont assez judicieux et al versification heureuses par intervalles à un poème intitulé mon odyssée qu'on croirait avoir été fait pour des lecteurs tudesques tant le style en est dur et baroque tant les rimes en sont bizarres .,other,aesthetics,-,-,-,style,1763xxa, 1772_r, 1773j, 1774_r, 1775i, 1778_h, 1778_r, 1779oi, 1781_r -- SEEMS SAME AS 1773 (CHECK),adjective,style,-
cette traduction semble inexacte d'un style dur et baroque rompu .,other,aesthetics,-,-,-,style,1770u,adjective,style,-
principes sont assez judicieux et al versification heureuses par intervalles à un poème intitulé mon odyssée qu'on croirait avoir été fait pour des lecteurs tudesques tant le style en est dur et baroque et tant les rimes en sont bizarres .,other,aesthetics,-,-,-,style,1773,adjective,style,-
écrites d'un style welche et baroque elles présentent des idées louches souvent inintelligibles .,other,aesthetics,-,-,-,style,1782xd, 1783wa, 1792l, 1793_bd,adjective,style,-
si ce style bizarre et baroque engage d'un côte par sa singularité à rechercher l'ouvrage et le fait vendre plus cher .,other,aesthetics,-,-,-,style,1782i,adjective,style,-
quelques fabriques d'un style arbitraire et baroque qu'on trouve dans les peintures d'herculanum qui peut être ont été exécutés à cette époque ou bien peu de temps après attestent la dépravation du goût .,other,aesthetics,-,-,-,style,1793d,adjective,style,-
naïveté suit ce style baroque .,other,aesthetics,-,-,-,style,1742_k, 1751l, 1752u, 1754o, 1755t,adjective,style,amod
ils faisaient plus de cas du style baroque des douze tables que de l'élégance du beau siècle d'auguste .,other,aesthetics,-,-,-,style,1752b, 1771y,adjective,style,amod
ils regardent seulement l'apocalypse de saint jean qu'ils appellent dans leur style baroque la vision de jean abukalamse comme ajoutée au canon .,other,aesthetics,-,-,-,style,1765n, 1784sj,adjective,style,amod
mais elles sont écrites d'un style baroque capable d'effrayer le lecteur le plus intrépide et d'une dureté sans exemple depuis chapelain .,other,aesthetics,-,-,-,style,1776xb,adjective,style,amod
il faut remarquer que les définitions dans cet ouvrage sont en général très claires et bien éloignées du style baroque et entortillé des jurisconsultes .,other,aesthetics,-,-,-,style,1797g,adjective,style,amod
je sais qu'à force de peine et de travail on peut se faire à toutes ces bizarreries et se familiariser encore avec ce style baroque après s'être familiarisé avec les irrégularités affectées à la langue .,other,aesthetics,-,-,-,style,1787c,adjective,style,amod
il voulait dans son style baroque donner des entorses et du louche à mes réponses .,other,aesthetics,-,-,-,style,1791e,adjective,style,amod
je sais qu'à force de peine et de travail on peut se faire à toutes ces bizarreries et s'apprivoiser encore avec ce style baroque après s'être familiarisé avec les irrégularités affectées à la langue .,other,aesthetics,-,-,-,style,1797m,adjective,style,amod
son style baroque répondait à la bizarrerie et au déréglement de son esprit .,other,aesthetics,-,-,-,style,1791xi,adjective,style,amod
ce style est assurément plus baroque que les figures de l'hermite et des capucins dont il parle en crocheteur et sans aucun ménagement .,other,aesthetics,-,-,-,style,1740c,adjective,style,nsubj
enfin le style en est tout-à-fait baroque voice un des canons .,other,aesthetics,-,-,-,style,1751e,adjective,style,nsubj
et voilà par quelle adresse ils vous rapportent en france à peu près le même goût qu'ils y avaient pris trop souvent maniéré spirituel chargé ou baroque en un mot éloigné de la simple grande saine et vraiment belle nature dont si rarement les italiens se sont écartés .,other,aesthetics,-,-,-,goût,1755ty, 1756_q, 1761oi,adjective,goût,-
de sorte qu'en copiant les tragédies angloises ils ont conservé à peu près le même goût timide contourné baroque en un mot éloigné de la simple grande saine et vraiment belle nature .,other,aesthetics,-,-,-,goût,1763g,adjective,goût,-
ce fut lui qui porta à son plus haut degré la perfection de l'art chez les anciens qui depuis ce temps tomba dans un goût mesquin baroque et bizarre .,other,aesthetics,-,-,-,goût,1781_k, 1784d,adjective,goût,-
cette partie était réservée au grand appelle qui fleurit dans la cent douzième olympiade et qui porta par-là à son plus haut degré la perfection de l'art chez les anciens qui depuis cette époque tomba dans un goût mesquin baroque et bizarre .,other,aesthetics,-,-,-,goût,1786o,adjective,goût,-
ce livre est à proprement parler une critique des femmes mais dans un goût baroque et qui sent la misère et la pauvreté de son temps .,other,aesthetics,-,-,-,goût,1753x,adjective,goût,amod
la composition est dans un goût baroque pour dire qu'elle n'est pas dans le bon goût .,other,aesthetics,-,-,-,goût,1756f, 1757b, 1781_d,adjective,goût,amod
ceux qui trouveront ces vers sur l'ingratitude trop graves pour figurer dans une babiole sont priés de considérer que la bigarrure constituë l'essentiel dans le goût baroque d'un receuil à la moderne .,other,aesthetics,-,-,-,goût,1763g,adjective,goût,amod
