category,sentence,sentence_lemmatized
substance,car quand on n'a point pris ces précautions on ne tire que la civette brune qui à la verité a autant d'odeur et de qualité que la blanche mais les marchands n'en auroient pas de débit à cause que les perfumeurs qui l'employent sont accoutumez à la voir blanche ou jaunâtre ., car quand on ne avoir point prendre ce précaution on ne tirer que le civette brune qui à le verité avoir autant de odeur et de qualité que le blanc mais le marchand ne en avoir pas un débit à cause que le perfumeur qui le employer être accoutumer à le voir blanc ou jaunâtre .
plant,ce défaut devient plus sensible quand pour préparer du vinaigre de table on y ajoute des plantes aqueuses telles que le cerfeuil la pinprenelle la civette etc ., ce défaut devenir plus sensible quand pour préparer de le vinaigre de table on y ajouter un plante aqueux tel que le cerfeuil le pinprendler le civette etc .
animal,ce qu'on recherche de la civette est sa liqueurs onctueuse et épaisse comme une sueur condensée qui s'amasse dans une poche placée dans les mâles entre leurs testicules et leur membre et dans les femelles entre la nature et l'anus ., ce que on rechercher de le civette être son liqueur onctueux et épais comme un sueur condensé qui se amasser dans un poche placer dans le mâle entre son testicule et son membre et dans le femelle entre le nature et le anus .
animal,ces deux poches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques auteurs anciens les ayent confondus ., ce deux poche être beaucoup plus gros que le testicule de le civette qui le porter et il être surprendre de voir que quelque auteur ancien le avoir confondre .
animal,ces deux pouches sont beaucoup plus grosses que les testicules de la civette qui les porte et je suis surpris de voir que quelques auteurs anciens les aient confondus ., ce deux pouche être beaucoup plus gros que le testicule de le civette qui le porter et il être surprendre de voir que quelque auteur ancien le avoir confondre .
animal,ces muscles ayant été endommagés dans notre civette je n'ai pu suivre ni déterminer leurs attaches non plus que celles d'un muscle commun aux deux poches dont les anatomistes font mention ., ce muscle avoir être endommager dans son civette il ne avoir pouvoir suivre ni déterminer son attache non plus que celui de un muscle commun à le deux poche dont le anatomiste faire mention .
animal,cette description peut être d'autant plus intéressante pour l'histoire naturelle que la civette n'est pas le seul animal qui ait une poche pour un parfum particulier ., ce description pouvoir être de autant plus intéressant pour le histoire naturel que le civette ne être pas le seul animal qui avoir un poche pour un parfum particulier .
substance,cette opération est une extraction des parties les plus huileuses de l'ambre gris du musc et de la civette faite dans l'esprit-de-vin ., ce opération être un extraction de le partie le plus huileux de le ambre gris de le musc et de le civette faire dans le esprit-de-vin .
substance,ceux dont les principes ont fermenté comme ce qu'on appelle improprement testicule de castor l'urine le musc la civette les excréments de plusieurs animaux sont propre les uns pour l'épilepsie pour l'apoplexie pour la paralysie les autres pour les maladies hystériques parce que leur substance volatile montant au cerveau fortifie l'origine des nerfs ., celui dont le principe avoir fermenter comme ce que on appeler improprement testicule de castor le urine le musc le civette le excrément de plusieurs animal être propre le un pour le épilepsie pour le apoplexie pour le paralysie le autre pour le maladie hystérique parce que son substance volatile monter à le cerveau fortifier le origine de le nerf .
plant,la civette est aussi un petite plante potagère ., civette être aussi un petit plante potager .
substance,comme les odeurs font partie de la distillation et que nous tâchons d'être utile à tous égards et à autant de personnes que nous pourrons nous allons traiter en bref des esprits d'odeurs et comme l'ambre le musc et la civette ont été de tous temps l'ame des odeurs ., comme le odeur faire partie de le distillation et que il tâcher de être utile à tout égard et à autant de personne que il pouvoir il aller traiter en bref un esprit de odeur et comme le ambre le musc et le civette avoir être de tout temps le ame de le odeur .
substance,comme parfumeurs ils peuvent appliquer sur les gants et débiter touts sortes de parfums tels que sont le musc l'ambre gris la civette et toutes autres sortes d'odeurs ., comme parfumeur il pouvoir appliquer sur le gant et débiter tout sorte de parfum tel que être le musc le ambre gris le civette et tout autre sorte de odeur .
animal,dans la civette que j'ai disséquée chaque poche avait 2 pouces 3 lignes de hauteur et toutes deux ensemble 2 pouces 2 lignes de diametre ., dans le civette que il avoir disséquer chaque poche avoir 2 pouce 3 ligne de hauteur et tout deux ensemble 2 pouce 2 ligne de diametre .
substance,de plus on ne peut pas dire que cette civette ou ce musc qu'on a ainsi appliqués produisent une bonne odeur ., de plus on ne pouvoir pas dire que ce civette ou ce musc que on avoir ainsi appliquer produire un bon odeur .
substance,enfin les parfums tels que l'ambre la civette le musc et autres substances semblables excitent des paroxysms violents par une qualité particuliere ., enfin le parfum tel que le ambre le civette le musc et autre substance semblable exciter un paroxysm violent par un qualité particuliere .
animal,il diffère de la civette en ce qu'il a le corps plus allongé le museau plus délié la queue plus longue et mieux marquée de taches et d'anneaux le poil plus court plus mollet point de crinière sur le cou ni le long de l'épine du dos point de noir au-dessous des yeux ni sur les joues ., il différer de le civette en ce que il avoir le corps plus allonger le museau plus délier le queue plus long et mieux marquer de tache et de anneau le poil plus court plus mollet point de crinière sur le cou ni le long de le épine de le dos 
animal,il est certain que l'hyène n'est point la civette ., il être certain que le hyène ne être point le civette .
animal,il est vrai que l'on ne connait pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait mais enfin on voit bien que le méchanisme est destiné à en empêcher l'écoulement perpétuel ., il être vrai que on ne connaître pas assez le civette pour savoir en quel occasion il jeter son huile quel usage il en faire mais enfin on voir bien que le méchanisme être destiner à en empêcher le écoulement perpétuel .
animal,il est vrai que l'on ne connait pas assez la civette pour savoir en quelle occasion elle jette son huile quel usage elle en fait ., il être vrai que on ne connaître pas assez le civette pour savoir en quel occasion il jeter son huile quel usage il en faire .
substance,il faut choisir la civette nouvelle d'un bonne consistence c'est-à-dire ni trop dure ni trop molle d'une couleur blanche et d'une odeur forte et assez désagréable ., il falloir choisir le civette nouveau de un bon consistence c'est-à-dire ni trop dur ni trop mou de un couleur blanc et de un odeur fort et assez désagréable .
substance,il faut joindre à une once de gomme adragant détrempée dans l'eau de rose deux onces d'huile de ben au jasmin et un demi-gros de civette ., il falloir joindre à un once de gomme adrager détremper dans le eau de rose deux once de huile de ben à le jasmin et un demi-gro de civette .
substance,il faut préféer la civette du mâle à celle de la femelle laquelle est souvent mêlée avec l'urine de la bête qui l'altère beaucoup ., il falloir préféer le civette de le mâle à celui de le femelle lequel être souvent mêler avec le urine de le bête qui le altérer beaucoup .
animal,il pend extérieurement entre les cuisses de la civette ., il pendre extérieurement entre le cuisse de le civette .
animal,il y a un animal qu'on appelle la genette qui est taché de même qui a la tête à peu près de la même forme et qui porte come la civette un sac dans lequel se filtre une humeur odorante ., il y avoir un animal que on appeler le genette qui être tacher de même qui avoir le tête à peu près de le même forme et qui porter come le civette un sac dans lequel se filtre un humeur odorant .
animal,ils ont quelque ressemblance avec la genette qui comme la civette porte une sac dans lequels se filtre une humeur odorante ., il avoir quelque ressemblance avec le genette qui comme le civette porter un sac dans lequel se filtre un humeur odorant .
animal,l'académie a déja donné il y a long-temps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le rest ., le académie avoir déja donner il y avoir long-temps un description anatomique de le civette accompagner de planche et le sac où ce animal porter le parfum qui lui être particulier ne manquer pas de être décrire avec le rest .
animal,l'académie a déjà donné il y a longtemps une description anatomique de la civette accompagnée de planches et le sac où cet animal porte le parfum qui lui est particulier ne manqua pas d'être décrit avec le reste ., le académie avoir déjà donner il y avoir longtemps un description anatomique de le civette accompagner de planche et le sac où ce animal porter le parfum qui lui être particulier ne manquer pas de être décrire avec le reste .
substance,l'addition du musc et de la civette fait un bon effet ., le addition de le musc et de le civette faire un bon effet .
animal,l'animal que nous appellons civette est originaire d'afrique et se nomme kastor dans la guinée ., le animal que il appeler civette être originaire de afrique et se nommer kastor dans le guinée .
animal,l'animal que nous appellons ici civette est originaire d'afrique et se nomme kastor dans la guinée ., le animal que il appeler ici civette être originaire de afrique et se nommer kastor dans le guinée .
substance,l'odeur de la civette est trop forte quand elle est toute seule ., le odeur de le civette être trop fort quand il être tout seul .
substance,l'odeur de la civette quoique violente est plus suave que celle du musc ., le odeur de le civette quoique violent être plus suave que celui de le musc .
animal,la civette a deux dents de plus que le zibet ., le civette avoir deux dent de plus que le zibet .
animal,la civette connue aussi par quelques auteurs français sous le nom de chat musqué ressemble plutôt au renard qu'au chat dont elle a d'ailleurs l'agilité ., le civette connaître aussi par quelque auteur français sous le nom de chat musqué ressembler plutôt à le renard que à le chat dont il avoir de ailleurs le agilité .
substance,la civette conservée s'épaissit et prend une couleur plus foncée ., le civette conserver se épaissir et prendre un couleur plus foncé .
substance,la civette contient beaucoup d'huile et du sel volatil ., le civette contenir beaucoup de huile et de le sel volatil .
substance,la civette de cette ville ayant la préférence surtout celle qui vient du levant et des indes elle se vend à l'once qui coute ordinairement depuis 28 jusqu'à 30 florins ., le civette de ce ville avoir le préférence surtout celui qui venir de le levant et de le indes il se vendre à le once qui couter ordinairement depuis 28 jusque à 30 florin .
substance,la civette entre dans plusieurs parfums ., le civette entrer dans plusieurs parfum .
animal,la civette est commune dans cette partie de l'afrique qui est entre le niger et les montagnes d'atlas ., le civette être commun dans ce partie de le afrique qui être entre le niger et le montagne de atlas .
animal,la civette est un animal fort sauvage ., le civette être un animal fort sauvage .
animal,la civette est un petit animal à peu près fait comme un chat à la réserve que son museau est plus pointu qu'il a les grisses moins dangereuses et crie autrement ., le civette être un petit animal à peu près faire comme un chat à le réserve que son museau être plus pointu que il avoir le grisse moins dangereux et crier autrement .
substance,la civette est une liqueur épaisse et odoriférante qu'on tire d'un animal qui porte le même nom ., le civette être un liqueur épais et odoriférant que on tirer de un animal qui porter le même nom .
substance,la civette est une substance onctueuse pâle-jaunâtre de la consistance de miel ou de beurre d'une saveur un peu âcre d'une odeur balsamique très-pénétrante ., le civette être un substance onctueux pâle-jaunâtre de le consistance de miel ou de beurre de un saveur un peu âcre de un odeur balsamique très-pénétrant .
animal,la civette et le zibet quoique originaires et natifs des climats les plus chauds de l'afrique et de l'asie peuvent cependant vivre dans les pays tempérés et même froids pourvu qu'on les défende avec soin des injures de l'aire et qu'on leur donne des aliments succulents et choisis ., le civette et le zibet quoique originaire et natif de le climat le plus chaud de le afrique et de le asie pouvoir cependant vivre dans le pays tempéré et même froid pourvoir que on le défendre avec soin un injure de le aire et que on lui donner un aliment succulent et choisir .
animal,la civette et le zibet sont deux animaux propre aux climats chauds de l'ancien continent ., le civette et le zibet être deux animal propre à le climat chaud de le ancien continent .
animal,la civette et le zibet sont donc toutes deux des animaux de l'ancien continent elles n'ont entre elles que les différences extérieures que nous avons indiquées ci-devant ., le civette et le zibet être donc tout deux un animal de le ancien continent il ne avoir entre il que le différence extérieur que il avoir indiquer ci-devant .
substance,la civette faite à amsterdam est préférée par les commerçans à celle qui vient du levant ou des indes qui est ordinairement moins pure ., le civette faire à amsterdam être préféré par le commerçans à celui qui venir de le levant ou de le indes qui être ordinairement moins pur .
animal,la civette forme donc un genre particulier d'animal voisin de la genette ou de la fossane dans la famille que j'appellerai la famille des lions ou des chats ., le civette former donc un genre particulier de animal voisin de le genette ou de le fossane dans le famille que il appeler le famille de le lion ou de le chat .
plant,la civette forme une touffe composée d'un grand nombre de petites bubles couvertes d'une enveloppe particulière et qui rapprochées les unes des autres sans être réunies sans être circonscrites sous une enveloppe commune ne forment un ensemble que par l'entrelacement des racines données à chacune d'elles ., le civette former un touffe composer de un grand nombre de petit buble couvrir de un enveloppe particulier et qui rapprocher le un de le autre sans être réunir sans être circonscrire sous un enveloppe commun ne former un ensemble que par le entrelacement de le racine donner à chacun de il .
substance,la civette lorsqu'elle est nouvelle est blanche elle n'est pas encore en état d'être employée et lorsqu'elle est trop vieille elle est toute brune elle n'est pas bonne non plus ., le civette lorsque il être nouveau être blanc il ne être pas encore en état de être employer et lorsque il être trop vieux il être tout brune il ne être pas bon non plus .
animal,la civette ne fouille pas la terre pour en tirer les cadavres ., le civette ne fouiller pas le terre pour en tirer le cadavre .
animal,la civette ne se trouve qu'en afrique et plus communément en ethiopie et au sénégal où on l'appelle  kankan ., le civette ne se trouver que en afrique et plus communément en ethiopie et à le sénégal où on le appeler kankan .
plant,la civette se multiplie si abondamment et se facilement par ses tubercules qu'il est inutile de songer à la propager par ses graines ., le civette se multiplier si abondamment et se facilement par son tubercule que il être inutile de songer à le propager par son graine .
animal,la civette se nomme kastor dans la guinée ., le civette se nommer kastor dans le guinée .
animal,la civette se trouve aussi dans le même pays que l'hyène elle a comme elle de longs poils le long de dos et une ouverture ou fente particulière ., le civette se trouver aussi dans le même pays que le hyène il avoir comme il un long poil le long de dos et un ouverture ou fente particulier .
animal,la civette tient beaucoup du chat et l'hyène au contraire est une espèce de loup ., le civette tenir beaucoup de le chat et le hyène à le contraire être un espèce de loup .
animal,la genette habite l'espagne la turquie européenne et delà vient qu'elle est plus petite plus douce et moins cruelle que la civette ., le genette habiter le espagne le turquie européen et delà venir que il être plus petit plus doux et moins cruel que le civette .
animal,la genette il est vrai a comme la civette et le zibet un sac dans lequel se filtre une espèce de parfum ., le genette il être vrai avoir comme le civette et le zibet un sac dans lequel se filtre un espèce de parfum .
animal,la longeur de la tête de la civette la petitesse de ses pattes la rudesse de son poil la douceur des pointes de sa langue la couleur et la forme de ses ongles et la ténacité de sa voix sont des caracteres tout-à-fait différents de ceux qui se voient dans toutes les espèces de chats ., le longeur de le tête de le civette le petitesse de son patte le rudesse de son poil le douceur de le pointe de son langue le couleur et le forme de son ongle et le ténacité de son voix être un caractere tout-à-fait différent de celui qui se voir dans tout le espèce de chat .
substance,la plupart des naturalistes dit-il ont cru qu'il n'y avait qu'une espèce d'animal qui fournit le parfum qu'on appelle civette ., le plupart de le naturaliste dire il avoir cru que il ne y avoir que un espèce de animal qui fournir le parfum que on appeler civette .
substance,la pluspart des naturalistes ont cru qu'il n'y avait qu'une espèce d'animal qui fournit le perfum qu'on appelle la civette ., le pluspart de le naturaliste avoir cru que il ne y avoir que un espèce de animal qui fournir le perfum que on appeler le civette .
substance,la poche ou le sac où est le parfum qu'on appele civette est au dessous de l'anus ., le poche ou le sac où être le parfum que on appeler civette être à le dessous de le anus .
substance,la poche qui renferme la civette est ordinairement placée au dessous de l'anus ., le poche qui renfermer le civette être ordinairement placer à le dessous de le anus .
substance,le retranchement de ces mêmes ingrédients dans la préparation dont il s'agit fait encore un meilleur effet car il est beaucoup de personnes de l'un et de l'autre sexe qui ne peuvent point supporter l'odeur du musc ni de la civette et auxquelles ces deux parfums causent une migraine violente ou des mouvements convulsifs ., le retranchement de ce même ingrédient dans le préparation dont il se agir faire encore un meilleur effet car il être beaucoup de personne de le un et de le autre sexe qui ne pouvoir point supporter le odeur de le musc ni de le civette et à lequel ce deux parfum causer un migraine violent ou un mouvement convulsif .
animal,le sac du parfum commun à la civette mâle et femelle et situé entre l'anus et le sexe de l'animal a son ouverture parallèle à celle de l'anus ., le sac de le parfum commun à le civette mâle et femelle et situer entre le anus et le sexe de le animal avoir son ouverture parallèle à celui de le anus .
animal,le suc nouvellement extrait des poches de la civette est onctueux d'une coulour jaune-pâle de la consistance du miel d'une saveur un peu âcre d'une odeur forte ., le suc nouvellement extraire un poche de le civette être onctueux de un coulour jaune-pâle de le consistance de le miel de un saveur un peu âcre de un odeur fort .
animal,le zibet est vraisemblablement la civette de l'asie des indes orientales et de l'arabie ., le zibet être vraisemblablement le civette de le asie de le indes oriental et de le arabie .
animal,les deux principales marques que les anciens disent convenir à leur hyène se trouvent aussi dans la civette ., le deux principal marque que le ancien dire convenir à son hyène se trouver aussi dans le civette .
plant,les fleurs de la civette manquant très-souvent les multiplication par cayeux a prévalue ., le fleur de le civette manquer très-souvent le multiplication par cayeu avoir prévalu .
plant,les herbes fines et odoriférantes des salades outre les autres fournitures sont l'estragon le baume ordinare le baume citronné la civette d'angleterre ou appétit le coq l'anis le fenouil la petite mélisse ou citronnelle ., le herbe fin et odoriférant de le salade outre le autre fourniture être le estragon le baume ordinarer le baume citronner le civette de angleterre ou appétit le coq le ani le fenouil le petit mélisse ou citronnelle .
substance,les hommes aussi bien que les femmes s'oignent au moins une fois par jour avec de la graisse de chameau mêlée avec de la civette ., le homme aussi bien que le femme se oigner à le moins un fois par jour avec de le graisse de chameau mêler avec de le civette .
plant,les maraichers cultivent la civette en planches et la plantent par raies distances à-peu-près comme les touffes le sont entr'elles ., le maraicher cultiver le civette en planche et le planter par raie distance à-peu-près comme le touffe le être entr' il .
substance,les parfumerus et les  confiseurs emploient la civette dans le mélange de leurs aromats ., le parfumerus et le confiseur employer le civette dans le mélange de son aromat .
animal,les uns veulent que ce soit un animal à quatre pieds et en font une espèce de loup de chat de fouine ou de civette ., le un vouloir que ce être un animal à quatre pied et en faire un espèce de loup de chat de fouine ou de civette .
animal,leur espèce tient un peu de celle des fouines elles sont les antipodes de la civette et de la genette ., son espèce tenir un peu de celui de le fouines il être le antipode de le civette et de le genette .
animal,mais au contraire ajoute m perrault il y a dans la description que les anciens ont faite de leur hyène quantité de choses qui ne conviennent point à la civette ., mais à le contraire ajouter m perrault il y avoir dans le description que le ancien avoir faire de son hyène quantité de chose qui ne convenir point à le civette .
substance,mais leur forte odeur de musc d'ambre et de civette que l'on ne pouvoit sourtenir sans incommodité a fait que la mode et l'usage s'en sont presque perdus ., mais son fort odeur de musc de ambre et de civette que on ne pouvoir sourtenir sans incommodité avoir faire que le mode et le usage se en être presque perdre .
substance,mais on me dira peut-être qu'on applique souvent un grain de musc ou de civette sur l'ombilic pour faire abbaisser la matrice et pour calmer les vapeurs ., mais on se dire peut-être que on appliquer souvent un grain de musc ou de civette sur le ombilic pour faire abbaisser le matrice et pour calmer le vapeur .
animal,mais scaliger ruel matthiole léon africain busbec aldrovandus et autres modernes veulent que la civette ait été inconnue aux anciens et que ce soit une espèce de chat ., mais scaliger ruel matthiole léon africain busbec aldrovandus et autre moderne vouloir que le civette avoir être inconnu à le ancien et que ce être un espèce de chat .
substance,nous devons néanmoins observer qu'on préfére alors le musc à la civette et qu'on s'en sert plus fréquemment pour parfumer ., il devoir néanmoins observer que on préférer alors le musc à le civette et que on se en servir plus fréquemment pour parfumer .
animal,odeur très-agréable renfermée dans une manière de bourse qui est autour des aines de l'animal qu'on apelle civette ., odeur très-agréable renfermer dans un manière de bourse qui être autour de le aine de le animal que on apeler civette .
plant,on compte trois espèces de cives dont la plus petite se nomme civette ., on compter trois espèce de cive dont le plus petit se nommer civette .
plant,on doit avoir soin de tondre fréquemment la civette même au-delà de la consommation pour avoir des feuilles nouvelles qui sont plus douces que les anciennes ., on devoir avoir soin de tondre fréquemment le civette même au-delà de le consommation pour avoir un feuille nouveau qui être plus doux que le ancien .
substance,on doit choisir la civette récente de bonne consistance de couleur blanche d'une odeur forte et qui n'est point agreable elle jaunit pui elle brunit en vieillissant ., on devoir choisir le civette récent de bon consistance de couleur blanc de un odeur fort et qui ne être point agreable il jaunir pui il brunir en vieillir .
animal,on en avait grossiérement découpé toutes les parties et on n'avait épargné que le sac où la civette porte son parfum ., on en avoir grossiérement découper tout le partie et on ne avoir épargner que le sac où le civette porter son parfum .
substance,on en nourrit en hollande avec du lait et des oeufs afin que la civette qui en sort soit blanche ., on en nourrir en hollande avec du lait et un œuf afin que le civette qui en sortir être blanc .
substance,on fait aussi avec la civette le musc et l'ambre gris incoporés avec une huile par expression un onguent dont on frotte les aines et les lombes pour exciter l'acte vénérien ., on faire aussi avec le civette le musc et le ambre gris incoporer avec un huile par expression un onguent dont on frotter le aine et le lombe pour exciter le acte vénérien .
substance,on n'y donne à ces animaux que des jaunes d'oeufs avec du lait et on prétend que c'est cette nourriture qui rend la civette de ce pays-là plus blanche que celle qui vient d'afrique et des indes orientales parce que ces animaux étant nourris de chair comme il arrive quand ils sont libres ou qu'on les tient enfermés dans des cages cette nourriture contribue infiniment à donner à leur sueur une couleur grise qui se change bientôt en brune ., on ne y donner à ce animal que un jaune de œuf avec du lait et on prétendre que ce être ce nourriture qui rendre le civette de ce pays là plus blanc que celui qui venir de afrique et de le indes oriental parce que ce animal être nourrir de chair comme il arriver quand il être libre ou que on le tenir enfermer dans un cage ce nourriture contribuer infiniment à donner à son sueur un couleur gris qui se changer bientôt en brune .
animal,on ne conçoit pas comment les anciens qui se sont tant étendus sur les propriétés de l'hyène auroient oublié de nous parler de son odeur singuliere si c'eût été la civette ., on ne concevoir pas comment le ancien qui se être tant étendu sur le propriété de le hyène avoir oublier de il parler de son odeur singuliere si ce avoir être le civette .
substance,on ne prescrit jamais actuellement la civette en médecine quoiqu'on l'ait employée autrefois comme corroborante cordiale sudorifique antispasmodique ., on ne prescrire jamais actuellement le civette en médecine quoique on le avoir employer autrefois comme corroborante cordial sudorifique antispasmodique .
substance,on vient de voir que les sacs qui servent à la sécrétion de la matière odorante que produit la civette font au-dessous de l'anus ., on venir de voir que le sac qui servir à le sécrétion de le matière odorant que produire le civette faire au-dessous de le anus .
substance,pour faire cette eau d'odeur on emploie la quintessence d'ambre gris la plus pure et la meilleure qu'il est possible sans mélange de musc et de civette ., pour faire ce eau de odeur on employer le quintessence de ambre gris le plus pur et le meilleur que il être possible sans mélange de musc et de civette .
animal,pour le recueillir on met la civette dans une cage étroite dans laquelle il lui est impossible de se retourner ., pour le recueillir on mettre le civette dans un cage étroit dans lequel il lui être impossible de se retourner .
substance,prenez deux dragmes de bon ambre gris autant de sucre candi demi-dragme de musc et deux grains de civette ., prendre deux dragme de bon ambre gris autant de sucre candi demi-dragme de musc et deux grain de civette .
plant,prenez fleurs de sureau sèches six onces estragon amorti au soleil huit onces ail trois onces civette quatre onces échalottes quatre onces sommités de baume ou menthe-baume une once girofles un gros et demi ., prendre fleur de sureau sec six once estragon amorti à le soleil huit once ail trois once civette quatre once échalotte quatre once sommiter de baume ou menthe-baume un once girofle un gros et demi .
animal,presque tous les naturalites avaient confondu la civette et le zibet et les avaient cru de la même espèce ., presque tout le naturalites avoir confondre le civette et le zibet et le avoir cru de le même espèce .
animal,puisqu'il n'est pas même absolument démontré que la civette et le zibet ne soient pas des variétés d'une espèce unique ., puisque il ne être pas même absolument démontrer que le civette et le zibet ne être pas un variété de un espèce unique .
animal,quelques naturalistes ont compris dans le genre du chien le loup le renard la civette le blaireau la loutre afin de donner une idée des principaux caractères distinctifs de ces animaux quadrupedes par un objet de comparaison bien connu ., quelque naturaliste avoir comprendre dans le genre de le chien le loup le renard le civette le blaireau le loutre afin de donner un idée de le principal caractère distinctif de ce animal quadrupede par un objet de comparaison bien connaître .
substance,si pour charger vos éventails vous vous servez de compositions dans lesquelles il entre plus de civette que d'autre parfums vous ferez usage des fleurs ., si pour charger son éventail il il servir de composition dans lequel il entrer plus de civette que de autre parfum il faire usage un fleur .
substance,si vous ne faites qu'à la civette ou au musc vous ne mettrez qu'une de ces matières dans ladite phiole ou bouteille mais toujours avec de l'esprit-de-vin rectifié ., si il ne faire que à le civette ou à le musc il ne mettre que un de ce matière dans ledit phiole ou bouteille mais toujours avec de le esprit-de-vin rectifier .
substance,suivant carthenser il n'y a presque point de différence entre le musc et la civette ., suivant carthenser il ne y avoir presque point de différence entre le musc et le civette .
plant,toutes les parties de la plante sont de la même forme et dans la même disposition que celles de la civette mais beaucoup plus grandes ., tout le partie de le plante être de le même forme et dans le même disposition que celui de le civette mais beaucoup plus grand .
